record_id,track,track_name,record_type,regulatory_class,device_type,category,material_family,material_form,brand,aliases,product_name,registrant,company_short,certificate_no,origin,approval_date,approval_year,valid_until,validity_status,market_scope,application_segment,primary_indication,approved_indications,indication_description,scope_full,specification,components,lidocaine_status,product_tags,market_claim,boundary_reason,source_account,source_title,source_url,evidence_text,confidence,official_verification_status,needs_nmpa_check,official_source,official_status,official_product_name,official_registrant,official_approval_date,official_valid_until,official_indication,official_scope,data_status,source_dataset,main_landscape_included,main_landscape_scope,main_landscape_exclusion_reason,analysis_role,strategic_segment,strategic_segment_name,manufacturer_group_key,manufacturer_group,portfolio_segments,portfolio_note
HA-国械注准20163130861-鼻唇沟,ha,透明质酸钠,医疗器械,,器械 / 注射材料 / 透明质酸钠,透明质酸钠,透明质酸钠 / 玻尿酸,修饰HA填充凝胶,注射用修饰透明质酸钠凝胶,,注射用修饰透明质酸钠凝胶,华熙生物科技股份有限公司,华熙生物,国械注准20163130861,国产,2021-05-31,2021,2026-05-30,,注射填充类,注射填充类,鼻唇沟,鼻唇沟,用于面部中、重度鼻唇沟皱纹纠正或鼻唇沟填充。,面部鼻唇沟部位真皮组织中层至深层注射，以纠正中重度鼻唇沟皱纹。,,注射用修饰透明质酸钠凝胶,未见利多卡因,注射填充类 / 国产 / 非交联,,,闲话医与美,玻尿酸的2025：医美再无械3神话,https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw,玻尿酸的2025：医美再无械3神话表格截图：鼻唇沟第62项，注射用修饰透明质酸钠凝胶，华熙生物科技股份有限公司，国械注准20163130861。,high,已官方核验/国家政务服务平台NMPA器械查询,否,国家政务服务平台 NMPA 医疗器械注册证查询,verified,注射用修饰透明质酸钠凝胶,华熙生物科技股份有限公司,2021-05-31,2026-05-30,鼻部,该产品用于面部真皮组织中层至深层注射以纠正中重度鼻唇部皱纹。,已结构化,ha_benchmark_records_20260505.csv,是,主全赛道行业格局,,参与主全赛道行业格局、核心KPI、厂家竞争力和赛道结构分析。,ha,玻尿酸,bloomage,华熙生物,玻尿酸,
HA-国械注准20163131804-颈部,ha,透明质酸钠,医疗器械,,器械 / 注射材料 / 透明质酸钠,透明质酸钠,透明质酸钠 / 玻尿酸,HA复合溶液,注射用透明质酸钠复合溶液,,注射用透明质酸钠复合溶液,爱美客技术发展股份有限公司,爱美客,国械注准20163131804,国产,2021-03-19,2021,2026-03-18,,水光/肤质类,水光/肤质类,颈部,颈部,用于颈部皱纹或颈部皮肤凹陷/纹路改善，具体层次以注册证描述为准。,颈部中重度皱纹或颈部皮肤改善。,,注射用透明质酸钠复合溶液,未见利多卡因,水光/肤质类 / 国产 / 非交联 / 复合溶液,,,闲话医与美,玻尿酸的2025：医美再无械3神话,https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw,玻尿酸的2025：医美再无械3神话表格截图：颈部第4项，注射用透明质酸钠复合溶液，爱美客技术发展股份有限公司，国械注准20163131804。,high,已官方核验/国家政务服务平台NMPA器械查询,否,国家政务服务平台 NMPA 医疗器械注册证查询,verified,注射用透明质酸钠复合溶液,爱美客技术发展股份有限公司,2025-04-14,2031-03-18,颈部,该产品用于皮内真皮层注射填充，以纠正颈部中重度皱纹。,已结构化,ha_benchmark_records_20260505.csv,是,主全赛道行业格局,,参与主全赛道行业格局、核心KPI、厂家竞争力和赛道结构分析。,ha,玻尿酸,imeik,爱美客,玻尿酸 / 再生类 / 肉毒素,
HA-国械注准20163131809-额部,ha,透明质酸钠,医疗器械,,器械 / 注射材料 / 透明质酸钠,透明质酸钠,透明质酸钠 / 玻尿酸,HA填充凝胶,医用透明质酸钠-羟丙基甲基纤维素凝胶,,医用透明质酸钠-羟丙基甲基纤维素凝胶,爱美客技术发展股份有限公司,爱美客,国械注准20163131809,国产,2021-02-26,2021,2026-02-25,,注射填充类,注射填充类,额部,额部,用于额部容量补充、轮廓修饰或皱纹改善相关场景。,额部皱纹或额部组织容量改善。,,医用透明质酸钠-羟丙基甲基纤维素凝胶,未见利多卡因,注射填充类 / 国产 / 非交联,,,闲话医与美,玻尿酸的2025：医美再无械3神话,https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw,玻尿酸的2025：医美再无械3神话表格截图：额部第2项，医用透明质酸钠-羟丙基甲基纤维素凝胶，爱美客技术发展股份有限公司，国械注准20163131809。,high,已官方核验/国家政务服务平台NMPA器械查询,否,国家政务服务平台 NMPA 医疗器械注册证查询,verified,医用透明质酸钠-羟丙基甲基纤维素凝胶,爱美客技术发展股份有限公司,2025-05-19,2031-02-25,鼻唇沟,"该产品用于皮肤皮下浅层至深层之间的填充,以纠正中重度额部皱纹和中重度鼻唇沟皱纹。",已结构化,ha_benchmark_records_20260505.csv,是,主全赛道行业格局,,参与主全赛道行业格局、核心KPI、厂家竞争力和赛道结构分析。,ha,玻尿酸,imeik,爱美客,玻尿酸 / 再生类 / 肉毒素,
HA-国械注准20163132497-额部,ha,透明质酸钠,医疗器械,,器械 / 注射材料 / 透明质酸钠,透明质酸钠,透明质酸钠 / 玻尿酸,HA+PVA微球复合填充,医用含聚乙烯醇凝胶微球的透明质酸钠-羟丙基甲基纤维素凝胶,,医用含聚乙烯醇凝胶微球的透明质酸钠-羟丙基甲基纤维素凝胶,爱美客技术发展股份有限公司,爱美客,国械注准20163132497,国产,2021-03-17,2021,2026-03-16,,复合材料类,复合材料类,额部,额部,用于额部容量补充、轮廓修饰或皱纹改善相关场景。,额部皱纹或额部组织容量改善。,,医用含聚乙烯醇凝胶微球的透明质酸钠-羟丙基甲基纤维素凝胶,未见利多卡因,复合材料类 / 国产 / 非交联 / PVA微球,,,闲话医与美,玻尿酸的2025：医美再无械3神话,https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw,玻尿酸的2025：医美再无械3神话表格截图：额部第4项，医用含聚乙烯醇凝胶微球的透明质酸钠-羟丙基甲基纤维素凝胶，爱美客技术发展股份有限公司，国械注准20163132497。,high,已官方核验/国家政务服务平台NMPA器械查询,否,国家政务服务平台 NMPA 医疗器械注册证查询,verified,医用含聚乙烯醇凝胶微球的透明质酸钠-羟丙基甲基纤维素凝胶,爱美客技术发展股份有限公司,2025-04-30,2031-03-16,鼻部,该产品用于皮肤真皮深层及皮下浅层之间注射填充，以纠正中重度额部皱纹和中重度鼻唇部皱纹。,已结构化,ha_benchmark_records_20260505.csv,是,主全赛道行业格局,,参与主全赛道行业格局、核心KPI、厂家竞争力和赛道结构分析。,ha,玻尿酸,imeik,爱美客,玻尿酸 / 再生类 / 肉毒素,
HA-国械注准20173133254-鼻唇沟,ha,透明质酸钠,医疗器械,,器械 / 注射材料 / 透明质酸钠,透明质酸钠,透明质酸钠 / 玻尿酸,交联HA填充凝胶,注射用交联透明质酸钠凝胶,,注射用交联透明质酸钠凝胶,山东凯乐普生物工程有限公司,山东凯乐普生物工程有限公司,国械注准20173133254,国产,2021-07-15,2021,2026-07-14,,注射填充类,注射填充类,鼻唇沟,鼻唇沟,用于面部中、重度鼻唇沟皱纹纠正或鼻唇沟填充。,面部鼻唇沟部位真皮组织中层至深层注射，以纠正中重度鼻唇沟皱纹。,,注射用交联透明质酸钠凝胶,未见利多卡因,注射填充类 / 国产 / 交联,,,闲话医与美,玻尿酸的2025：医美再无械3神话,https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw,玻尿酸的2025：医美再无械3神话表格截图：鼻唇沟第59项，注射用交联透明质酸钠凝胶，山东凯乐普生物工程有限公司，国械注准20173133254。,high,已官方核验/国家政务服务平台NMPA器械查询,否,国家政务服务平台 NMPA 医疗器械注册证查询,verified,注射用修饰透明质酸钠凝胶,山东凯乐普生物工程有限公司,2021-07-15,2026-07-14,鼻唇沟,该产品适用于面部真皮组织中层至深层注射以纠正中重度鼻唇沟皱褶。,已结构化,ha_benchmark_records_20260505.csv,是,主全赛道行业格局,,参与主全赛道行业格局、核心KPI、厂家竞争力和赛道结构分析。,ha,玻尿酸,山东凯乐普生物工程有限公司,山东凯乐普生物工程有限公司,玻尿酸,
HA-国械注准20213130191-鼻唇沟,ha,透明质酸钠,医疗器械,,器械 / 注射材料 / 透明质酸钠,透明质酸钠,透明质酸钠 / 玻尿酸,交联HA填充凝胶,注射用交联透明质酸钠凝胶,,注射用交联透明质酸钠凝胶,杭州科腾生物制品有限公司,杭州科腾生物制品有限公司,国械注准20213130191,国产,2021-03-18,2021,2026-03-17,,注射填充类,注射填充类,鼻唇沟,鼻唇沟,用于面部中、重度鼻唇沟皱纹纠正或鼻唇沟填充。,面部鼻唇沟部位真皮组织中层至深层注射，以纠正中重度鼻唇沟皱纹。,,注射用交联透明质酸钠凝胶,未见利多卡因,注射填充类 / 国产 / 交联,,,闲话医与美,玻尿酸的2025：医美再无械3神话,https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw,玻尿酸的2025：医美再无械3神话表格截图：鼻唇沟第63项，注射用交联透明质酸钠凝胶，杭州科腾生物制品有限公司，国械注准20213130191。,high,已官方核验/国家政务服务平台NMPA器械查询,否,国家政务服务平台 NMPA 医疗器械注册证查询,verified,注射用交联透明质酸钠凝胶,杭州科腾生物制品有限公司,2025-12-15,2031-03-17,鼻唇沟,适用于面部皮肤真皮组织中层至深层注射，以纠正中重度鼻唇沟。,已结构化,ha_benchmark_records_20260505.csv,是,主全赛道行业格局,,参与主全赛道行业格局、核心KPI、厂家竞争力和赛道结构分析。,ha,玻尿酸,杭州科腾生物制品有限公司,杭州科腾生物制品有限公司,玻尿酸,
HA-国械注许20163130035-鼻唇沟,ha,透明质酸钠,医疗器械,,器械 / 注射材料 / 透明质酸钠,透明质酸钠,透明质酸钠 / 玻尿酸,交联HA填充凝胶,注射用交联透明质酸钠凝胶 Formaderm Dermal Filler Injection,,注射用交联透明质酸钠凝胶 Formaderm Dermal Filler Injection,和康生物科技股份有限公司,和康生物科技股份有限公司,国械注许20163130035,港澳台,2021-07-02,2021,2026-07-01,,注射填充类,注射填充类,鼻唇沟,鼻唇沟,用于面部中、重度鼻唇沟皱纹纠正或鼻唇沟填充。,面部鼻唇沟部位真皮组织中层至深层注射，以纠正中重度鼻唇沟皱纹。,,注射用交联透明质酸钠凝胶 Formaderm Dermal Filler Injection,未见利多卡因,注射填充类 / 港澳台 / 交联,,,闲话医与美,玻尿酸的2025：医美再无械3神话,https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw,玻尿酸的2025：医美再无械3神话表格截图：鼻唇沟第60项，注射用交联透明质酸钠凝胶 Formaderm Dermal Filler Injection，和康生物科技股份有限公司，国械注许20163130035。,high,已官方核验/国家政务服务平台NMPA器械查询,否,国家政务服务平台 NMPA 医疗器械注册证查询,verified,注射用交联透明质酸钠凝胶Formaderm Dermal Filler Injection,和康生物科技股份有限公司,2021-07-02,2026-07-01,鼻唇沟,适用于面部真皮组织中层注射以纠正中重度鼻唇沟皱纹。,已结构化,ha_benchmark_records_20260505.csv,是,主全赛道行业格局,,参与主全赛道行业格局、核心KPI、厂家竞争力和赛道结构分析。,ha,玻尿酸,和康生物科技股份有限公司,和康生物科技股份有限公司,玻尿酸,
HA-国械注进20163130114-鼻唇沟,ha,透明质酸钠,医疗器械,,器械 / 注射材料 / 透明质酸钠,透明质酸钠,透明质酸钠 / 玻尿酸,修饰HA填充凝胶,注射用修饰透明质酸钠凝胶,,注射用修饰透明质酸钠凝胶,"LG Chem, Ltd.","LG Chem, Ltd.",国械注进20163130114,进口,2021-02-18,2021,2026-02-17,,注射填充类,注射填充类,鼻唇沟,鼻唇沟,用于面部中、重度鼻唇沟皱纹纠正或鼻唇沟填充。,面部鼻唇沟部位真皮组织中层至深层注射，以纠正中重度鼻唇沟皱纹。,,注射用修饰透明质酸钠凝胶,未见利多卡因,注射填充类 / 进口 / 非交联,,,闲话医与美,玻尿酸的2025：医美再无械3神话,https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw,"玻尿酸的2025：医美再无械3神话表格截图：鼻唇沟第64项，注射用修饰透明质酸钠凝胶，LG Chem, Ltd.，国械注进20163130114。",high,官方未查到/需复核,是,国家政务服务平台 NMPA 医疗器械注册证查询,not_found,,,,,,,已结构化/待官方核验,ha_benchmark_records_20260505.csv,是,主全赛道行业格局,官方证书库暂未同步/待官方核验，不纳入主全赛道行业格局，仅作底层资料和细分赛道研究呈现。,参与主全赛道行业格局、核心KPI、厂家竞争力和赛道结构分析。,ha,玻尿酸,"lg chem, ltd.","LG Chem, Ltd.",玻尿酸,
HA-国械注进20173135168-鼻唇沟,ha,透明质酸钠,医疗器械,,器械 / 注射材料 / 透明质酸钠,透明质酸钠,透明质酸钠 / 玻尿酸,修饰HA填充凝胶,注射用修饰透明质酸钠凝胶 Princess Volume,,注射用修饰透明质酸钠凝胶 Princess Volume,克罗玛医药有限公司 CROMA-PHARMA,克罗玛医药有限公司 CROMA-PHARMA,国械注进20173135168,进口,2021-06-24,2021,2026-06-23,,注射填充类,注射填充类,鼻唇沟,鼻唇沟,用于面部中、重度鼻唇沟皱纹纠正或鼻唇沟填充。,面部鼻唇沟部位真皮组织中层至深层注射，以纠正中重度鼻唇沟皱纹。,,注射用修饰透明质酸钠凝胶 Princess Volume,未见利多卡因,注射填充类 / 进口 / 非交联,,,闲话医与美,玻尿酸的2025：医美再无械3神话,https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw,玻尿酸的2025：医美再无械3神话表格截图：鼻唇沟第61项，注射用修饰透明质酸钠凝胶 Princess Volume，克罗玛医药有限公司 CROMA-PHARMA，国械注进20173135168。,high,已官方核验/国家政务服务平台NMPA器械查询,否,国家政务服务平台 NMPA 医疗器械注册证查询,verified,注射用修饰透明质酸钠凝胶Princess Volume,克罗玛医药有限公司CROMA-PHARMA GmbH,2021-06-24,2026-06-23,鼻唇沟,该产品适用于面部真皮组织中层至深层注射，以纠正鼻唇沟。,已结构化,ha_benchmark_records_20260505.csv,是,主全赛道行业格局,,参与主全赛道行业格局、核心KPI、厂家竞争力和赛道结构分析。,ha,玻尿酸,克罗玛医药有限公司 croma-pharma,克罗玛医药有限公司 CROMA-PHARMA,玻尿酸,
HA-国械注进20213130059-下颌部,ha,透明质酸钠,医疗器械,,器械 / 注射材料 / 透明质酸钠,透明质酸钠,透明质酸钠 / 玻尿酸,交联HA填充凝胶,注射用交联透明质酸钠凝胶 Cross-linked Sodium Hyaluronate Gel for Injection,,注射用交联透明质酸钠凝胶 Cross-linked Sodium Hyaluronate Gel for Injection,科医有限公司 Q-Med AB,科医有限公司 Q-Med AB,国械注进20213130059,进口,2021-03-03,2021,2026-03-02,,注射填充类,注射填充类,下颌部,下颌部,用于下颌、下颏或颏部轮廓改善相关注射填充。,下颌区域/下颏轮廓改善。,,注射用交联透明质酸钠凝胶 Cross-linked Sodium Hyaluronate Gel for Injection,未见利多卡因,注射填充类 / 进口 / 交联,,,闲话医与美,玻尿酸的2025：医美再无械3神话,https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw,玻尿酸的2025：医美再无械3神话表格截图：下颌部第5项，注射用交联透明质酸钠凝胶 Cross-linked Sodium Hyaluronate Gel for Injection，科医有限公司 Q-Med AB，国械注进20213130059。,high,已官方核验/国家政务服务平台NMPA器械查询,否,国家政务服务平台 NMPA 医疗器械注册证查询,verified,注射用交联透明质酸钠凝胶Cross-linked Sodium Hyaluronate Gel for Injection,科医有限公司Q-Med AB,2024-07-26,2031-03-02,鼻唇沟,本产品适用于面部真皮组织中层至深层填充以纠正中度至重度鼻唇沟皱纹。适用于注射到骨膜上，填充下颌区域，以改善轻度至中度下颌后缩患者的下颌轮廓。,已结构化,ha_benchmark_records_20260505.csv,是,主全赛道行业格局,,参与主全赛道行业格局、核心KPI、厂家竞争力和赛道结构分析。,ha,玻尿酸,galderma,高德美 / Galderma,玻尿酸 / 再生类 / 肉毒素,
